Time,Alert
2026-06-18 07:43:24,Worker without Helmet
2026-06-18 07:43:29,Worker without Helmet
2026-06-18 07:43:34,Worker without Helmet
2026-06-18 07:43:39,Worker without Safety Vest
2026-06-18 07:43:44,Worker without Helmet
2026-06-18 07:50:31,Worker without Helmet
2026-06-18 07:50:36,Worker without Helmet
2026-06-18 07:50:41,Worker without Helmet
2026-06-18 07:52:47,Worker without Helmet
2026-06-18 07:52:52,Worker without Helmet
2026-06-18 07:54:52,Worker without Helmet
2026-06-18 07:54:57,Worker without Helmet
2026-06-18 07:55:02,Worker without Helmet
2026-06-18 07:59:49,Worker without Helmet
2026-06-18 07:59:54,Worker without Helmet
2026-06-18 07:59:59,Worker without Helmet
2026-06-18 08:00:04,Worker without Helmet
2026-06-18 08:00:10,Worker without Helmet
2026-06-18 08:00:15,Worker without Helmet
2026-06-18 08:00:20,Worker without Helmet
2026-06-18 08:00:25,Worker without Helmet
2026-06-18 08:00:30,Worker without Helmet
2026-06-18 08:00:36,Worker without Helmet
2026-06-18 08:00:41,Worker without Helmet
2026-06-18 08:00:46,Worker without Helmet
2026-06-18 08:00:51,Worker without Helmet
2026-06-18 08:06:42,Worker without Helmet
2026-06-18 08:06:50,Worker without Helmet
2026-06-18 08:06:55,Worker without Helmet
2026-06-18 08:07:03,Worker without Helmet
2026-06-18 08:07:09,Worker without Helmet
2026-06-18 08:07:15,Worker without Helmet
2026-06-18 08:07:22,Worker without Helmet
2026-06-18 08:07:28,Worker without Helmet
2026-06-18 08:07:34,Worker without Helmet
2026-06-18 08:07:40,Worker without Helmet
2026-06-18 08:07:46,Worker without Helmet
2026-06-18 08:07:54,Worker without Helmet
2026-06-18 08:08:00,Worker without Helmet
2026-06-18 08:08:06,Worker without Helmet
2026-06-18 08:08:11,Worker without Helmet
2026-06-18 08:08:19,Worker without Helmet
2026-06-18 08:08:25,Worker without Helmet
2026-06-18 08:08:32,Worker without Helmet
2026-06-18 08:08:38,Worker without Helmet
2026-06-18 08:08:43,Worker without Helmet
2026-06-18 08:08:48,Worker without Helmet
2026-06-18 08:08:53,Worker without Helmet
2026-06-18 08:08:59,Worker without Helmet
2026-06-18 08:09:06,Worker without Helmet
2026-06-18 08:09:11,Worker without Helmet
2026-06-18 08:09:17,Worker without Helmet
2026-06-18 08:10:37,Worker without Helmet
2026-06-18 08:10:43,Worker without Safety Vest
2026-06-18 08:10:48,Worker without Safety Vest
2026-06-18 08:24:38,Worker without Helmet
2026-06-18 08:24:43,Worker without Helmet
2026-06-18 08:53:21,Worker without Helmet
2026-06-18 09:01:59,Worker without Helmet
2026-06-18 09:04:41,Worker without Helmet
2026-06-18 09:07:25,Worker without Helmet
2026-06-18 09:10:00,Worker without Helmet
2026-06-18 09:10:05,Worker without Helmet
2026-06-18 09:14:31,Worker without Safety Vest
2026-06-18 14:03:59,Worker without Helmet
2026-06-18 14:04:05,Worker without Helmet
2026-06-18 14:04:10,Worker without Mask
2026-06-18 14:04:15,Worker without Helmet
2026-06-18 14:04:20,Worker without Mask
2026-06-18 14:04:27,Worker without Helmet
2026-06-18 14:04:33,Worker without Mask
2026-06-19 10:28:50,Worker without Mask
2026-06-19 10:28:55,Worker without Mask
2026-06-19 10:35:54,Worker without Helmet
2026-06-19 10:35:59,Worker without Mask
2026-06-19 10:36:07,Worker without Mask
2026-06-19 10:36:13,Worker without Mask
2026-06-19 10:36:18,Worker without Mask
2026-06-19 10:36:23,Worker without Safety Vest
2026-06-19 10:36:29,Worker without Safety Vest
2026-06-19 10:36:35,Worker without Safety Vest
2026-06-19 10:36:41,Worker without Safety Vest
2026-06-19 10:36:49,Worker without Helmet
2026-06-19 10:36:55,Worker without Helmet
2026-06-19 10:37:03,Worker without Mask
2026-06-19 10:37:08,Worker without Safety Vest
2026-06-19 10:37:14,Worker without Safety Vest
2026-06-19 10:37:20,Worker without Safety Vest
2026-06-19 10:37:25,Worker without Helmet
2026-06-19 10:37:33,Worker without Mask
2026-06-19 10:37:38,Worker without Mask
2026-06-19 10:37:45,Worker without Safety Vest
2026-06-19 10:37:51,Worker without Safety Vest
2026-06-19 10:37:58,Worker without Safety Vest
